probe_a,probe_b,pearson_r,spearman_rho
warriner,nrc,0.40848414190427146,0.3248272976044957
warriner,cr4_nrc,0.2102985554335271,0.2323194226954782
warriner,cr4_nrcbert,0.1748983305892068,0.21242416971472072
warriner,cr4_emo,0.21768485678757127,0.19894968575363922
nrc,cr4_nrc,0.15095628456024748,0.23831787182725345
nrc,cr4_nrcbert,0.2649723283528558,0.3529795222735063
nrc,cr4_emo,0.13712616589342294,0.14186473275373324
cr4_nrc,cr4_nrcbert,0.38470648370435045,0.3599364795995593
cr4_nrc,cr4_emo,0.302807971050432,0.3009715850502739
cr4_nrcbert,cr4_emo,0.3501744110366972,0.37994946703634136
