channel,probe_a,probe_b,pearson_r,spearman_rho
V,warriner,nrc,0.8180204937541301,0.8261166644484871
V,warriner,cr4_nrc,0.6256637724413884,0.6288548375953464
V,warriner,cr4_nrcbert,0.5257193720818951,0.5266663685546341
V,warriner,cr4_emo,0.5413333473999569,0.5455969682854008
V,nrc,cr4_nrc,0.7119038345684521,0.7191838165856537
V,nrc,cr4_nrcbert,0.6180836198968993,0.6132376259488015
V,nrc,cr4_emo,0.5153975876468495,0.5168358770342967
V,cr4_nrc,cr4_nrcbert,0.8696086375722002,0.8333239378593238
V,cr4_nrc,cr4_emo,0.8233987018500516,0.7751660243835863
V,cr4_nrcbert,cr4_emo,0.8761186139913903,0.8655596943913683
A,warriner,nrc,0.6214598731117786,0.6218607546105248
A,warriner,cr4_nrc,0.4522371175241944,0.4315095802013219
A,warriner,cr4_nrcbert,0.5438867057616306,0.5440463478029528
A,warriner,cr4_emo,0.2963535321817644,0.27489553986757165
A,nrc,cr4_nrc,0.698395070128289,0.6798294785045682
A,nrc,cr4_nrcbert,0.7337921700373216,0.7100500118255816
A,nrc,cr4_emo,0.3373911972359759,0.3259429629736378
A,cr4_nrc,cr4_nrcbert,0.6760905136531461,0.6293317020529888
A,cr4_nrc,cr4_emo,0.33894742652320997,0.36056868437649936
A,cr4_nrcbert,cr4_emo,0.3785847356187883,0.39128690407969846
D,warriner,nrc,0.1931927630719551,0.12887785827273607
D,warriner,cr4_nrc,0.430052162691824,0.3985625772477506
D,warriner,cr4_nrcbert,-0.04776716305366747,-0.0653711473611575
D,warriner,cr4_emo,0.1258579751465361,0.22552588224511505
D,nrc,cr4_nrc,0.6207288566756813,0.5654211093836626
D,nrc,cr4_nrcbert,0.5707178550585159,0.5312018393653689
D,nrc,cr4_emo,0.14470985897381483,0.15802489792240176
D,cr4_nrc,cr4_nrcbert,0.6482846043582682,0.5975646242601593
D,cr4_nrc,cr4_emo,0.5000256954517799,0.5710079852014927
D,cr4_nrcbert,cr4_emo,0.44321442220242424,0.4345655022947926
